#separator:tab
#html:true
#notetype:Cloze
#deck:APFC::3 Core Facts
#tags column:3
WEIGHT — read lean, {{c1::do not let it grow}}	F4.1	APFC::M04::F4_1 syllabus::economy type::fact
THE GRID — GNP = {{c1::GDP + NFIA}}	F4.1	APFC::M04::F4_1 syllabus::economy type::fact
THE GRID — NDP = {{c1::GDP − depreciation}}	F4.1	APFC::M04::F4_1 syllabus::economy type::fact
THE GRID — NNP = {{c1::GNP − depreciation}}	F4.1	APFC::M04::F4_1 syllabus::economy type::fact
THE GRID — NATIONAL INCOME = {{c1::NNP AT FACTOR COST}}	F4.1	APFC::M04::F4_1 syllabus::economy type::fact
THE GRID — per capita income = {{c1::national income ÷ population}}	F4.1	APFC::M04::F4_1 syllabus::economy type::fact
THE TWO ADJUSTMENTS — domestic » {{c1::national = add NFIA}}	F4.1	APFC::M04::F4_1 syllabus::economy type::fact
THE TWO ADJUSTMENTS — gross » {{c1::net = subtract depreciation}}	F4.1	APFC::M04::F4_1 syllabus::economy type::fact
INDIA'S NFIA IS NORMALLY NEGATIVE, SO GNP IS SLIGHTLY BELOW GDP. Remittances are a current transfer, not {{c1::factor income}}	F4.1	APFC::M04::F4_1 syllabus::economy type::fact
VALUATION — factor cost » {{c1::+ production taxes − subsidies » basic prices » + product taxes − subsidies » market prices}}	F4.1	APFC::M04::F4_1 syllabus::economy type::fact
VALUATION — GDP at market prices = {{c1::GVA at basic prices + net product taxes}}	F4.1	APFC::M04::F4_1 syllabus::economy type::fact
THREE METHODS — {{c1::production (value added)}}	F4.1	APFC::M04::F4_1 syllabus::economy type::fact
THREE METHODS — {{c1::income (rent + wages + interest + profit)}}	F4.1	APFC::M04::F4_1 syllabus::economy type::fact
THREE METHODS — {{c1::expenditure C + I + G + (X − M)}}	F4.1	APFC::M04::F4_1 syllabus::economy type::fact
PRICES — nominal = {{c1::current, real = constant}}	F4.1	APFC::M04::F4_1 syllabus::economy type::fact
